"Argillic horizon"||10|||53|||43||"24825703"|"15301596"
"Cambic horizon"||10|||91|||81||"24825704"|"15301597"
"Ochric epipedon"||0|||10|||10||"24825704"|"15301598"
"Paralithic contact"|51|91|102|203|203|203||112||"24825704"|"15301599"
"Ochric epipedon"||0|||13|||13||"24825705"|"15301600"
"Argillic horizon"||13|||74|||61||"24825705"|"15301601"
"Cambic horizon"||13|||109|||96||"24825706"|"15301603"
"Ochric epipedon"||0|||13|||13||"24825706"|"15301602"
"Argillic horizon"||23|||114|||91||"24825707"|"15301604"
"Umbric epipedon"|0|0|0|18|23|38||23||"24825707"|"15301605"
"Ochric epipedon"||0|||13|||13||"24825708"|"15301606"
"Argillic horizon"||13|||68|||55||"24825708"|"15301607"
"Paralithic contact"|51|68|102|203|203|203||135||"24825708"|"15301608"
"Cambic horizon"|25|28|51|203|203|203|152|175|178|"24826082"|"15302112"
"Umbric epipedon"|0|0|0|25|28|51|25|28|51|"24826082"|"15302111"
"Cambic horizon"|25|46|51|70|86|102|35|40|76|"24826083"|"15302114"
"Umbric epipedon"|0|0|0|25|46|51|25|46|51|"24826083"|"15302113"
"Cambic horizon"|21|38|41|93|119|142|61|81|89|"24826084"|"15302116"
"Umbric epipedon"|1|3|5|21|38|41|31|35|40|"24826084"|"15302115"
"Cambic horizon"|5|13|17|38|64|102|33|51|85|"24826085"|"15302118"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"24826085"|"15302117"
"Cambic horizon"|18|23|33|47|69|78|23|46|54|"24826086"|"15302120"
"Lithic contact"|71|79|95|71|79|95|0|0|0|"24826086"|"15302121"
"Umbric epipedon"|0|0|0|18|23|33|18|23|33|"24826086"|"15302119"
"Paralithic contact"|47|69|78|71|79|95|7|10|18|"24826086"|"15302122"
"Cambic horizon"|18|23|25|90|117|140|90|94|121|"24826087"|"15302124"
"Lithic contact"|102|137|152|102|137|152|0|0|0|"24826087"|"15302125"
"Umbric epipedon"|0|0|0|18|23|25|18|23|25|"24826087"|"15302123"
"Cambic horizon"|5|8|17|51|71|102|46|63|85|"24826088"|"15302127"
"Ochric epipedon"|0|0|0|5|8|17|5|8|17|"24826088"|"15302126"
"Paralithic contact"|51|71|102|51|71|102|0|0|0|"24826088"|"15302128"
"Cambic horizon"|5|8|17|51|71|102|46|63|85|"24826056"|"15302050"
"Ochric epipedon"|0|0|0|5|8|17|5|8|17|"24826056"|"15302049"
"Paralithic contact"|51|71|102|51|71|102|0|0|0|"24826056"|"15302051"
"Cambic horizon"|18|23|33|47|69|78|23|46|54|"24826057"|"15302053"
"Lithic contact"|71|79|95|71|79|95|0|0|0|"24826057"|"15302054"
"Umbric epipedon"|0|0|0|18|23|33|18|23|33|"24826057"|"15302052"
"Paralithic contact"|47|69|78|71|79|95|7|10|18|"24826057"|"15302055"
"Cambic horizon"|18|23|25|90|117|140|90|94|121|"24826058"|"15302057"
"Lithic contact"|102|137|152|102|137|152|0|0|0|"24826058"|"15302058"
"Umbric epipedon"|0|0|0|18|23|25|18|23|25|"24826058"|"15302056"
"Cambic horizon"|21|38|41|93|119|142|61|81|89|"24826059"|"15302060"
"Umbric epipedon"|1|3|5|21|38|41|31|35|40|"24826059"|"15302059"
"Cambic horizon"|25|28|51|203|203|203|152|175|178|"24826060"|"15302062"
"Umbric epipedon"|0|0|0|25|28|51|25|28|51|"24826060"|"15302061"
"Cambic horizon"|25|46|51|70|86|102|35|40|76|"24826061"|"15302064"
"Umbric epipedon"|0|0|0|25|46|51|25|46|51|"24826061"|"15302063"
"Cambic horizon"|5|13|17|38|64|102|33|51|85|"24826062"|"15302066"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"24826062"|"15302065"
"Cambic horizon"|18|23|33|47|69|78|23|46|54|"24825855"|"15301820"
"Lithic contact"|71|79|95|71|79|95|0|0|0|"24825855"|"15301821"
"Umbric epipedon"|0|0|0|18|23|33|18|23|33|"24825855"|"15301819"
"Paralithic contact"|47|69|78|71|79|95|7|10|18|"24825855"|"15301822"
"Cambic horizon"|18|23|25|90|117|140|90|94|121|"24825856"|"15301824"
"Lithic contact"|102|137|152|102|137|152|0|0|0|"24825856"|"15301825"
"Umbric epipedon"|0|0|0|18|23|25|18|23|25|"24825856"|"15301823"
"Cambic horizon"|25|28|51|203|203|203|152|175|178|"24825857"|"15301827"
"Umbric epipedon"|0|0|0|25|28|51|25|28|51|"24825857"|"15301826"
"Cambic horizon"|25|46|51|70|86|102|35|40|76|"24825858"|"15301829"
"Umbric epipedon"|0|0|0|25|46|51|25|46|51|"24825858"|"15301828"
"Cambic horizon"|21|38|41|93|119|142|61|81|89|"24825859"|"15301830"
"Umbric epipedon"|1|3|5|21|38|41|31|35|40|"24825859"|"15301831"
"Cambic horizon"|5|8|17|51|71|102|46|63|85|"24825860"|"15301833"
"Ochric epipedon"|0|0|0|5|8|17|5|8|17|"24825860"|"15301832"
"Paralithic contact"|51|71|102|51|71|102|0|0|0|"24825860"|"15301834"
"Cambic horizon"|5|13|17|38|64|102|33|51|85|"24825861"|"15301836"
"Ochric epipedon"|0|0|0|5|13|17|5|13|17|"24825861"|"15301835"
"Cambic horizon"|29|48|58|203|203|203|145|155|174|"24825713"|"15301618"
"Umbric epipedon"|0|0|0|29|48|58|29|48|58|"24825713"|"15301617"
"Cambic horizon"|25|30|51|51|66|127|26|36|76|"24825714"|"15301620"
"Umbric epipedon"|0|0|0|25|30|51|25|30|51|"24825714"|"15301619"
"Umbric epipedon"|0|0|0|43|53|68|43|53|68|"24825715"|"15301621"
"Argillic horizon"|25|36|51|51|76|102|26|40|51|"24825716"|"15301623"
"Umbric epipedon"|0|0|0|25|36|51|25|36|51|"24825716"|"15301622"
"Ochric epipedon"|0|0|0|18|25|38|18|25|38|"24825717"|"15301624"
"Argillic horizon"|18|25|38|33|86|112|15|61|74|"24825717"|"15301625"
"Ochric epipedon"|0|0|0|3|13|25|3|13|25|"24825828"|"15301752"
"Argillic horizon"|3|13|25|51|68|102|48|55|77|"24825828"|"15301753"
"Paralithic contact"|51|68|102|51|68|102|0|0|0|"24825828"|"15301754"
"Cambic horizon"|29|48|58|203|203|203|145|155|174|"24825829"|"15301756"
"Umbric epipedon"|0|0|0|29|48|58|29|48|58|"24825829"|"15301755"
"Ochric epipedon"|0|0|0|7|13|15|7|13|15|"24825830"|"15301758"
"Argillic horizon"|7|13|15|30|81|90|23|68|77|"24825830"|"15301757"
"Argillic horizon"|25|36|51|51|76|102|26|40|51|"24825831"|"15301760"
"Umbric epipedon"|0|0|0|25|36|51|25|36|51|"24825831"|"15301759"
