"Summit"|"39492748"|"16554242"
"Backslope"|"39492997"|"16554327"
"Summit"|"39492675"|"16554227"
"Backslope"|"39492675"|"16554228"
"Summit"|"39493113"|"16554392"
"Footslope"|"39492541"|"16554185"
"Toeslope"|"39492541"|"16554186"
"Backslope"|"39493174"|"16554433"
"Backslope"|"39492575"|"16554199"
"Shoulder"|"39493260"|"16554474"
"Footslope"|"39493081"|"16554376"
"Footslope"|"39493029"|"16554342"
"Footslope"|"39493103"|"16554390"
"Summit"|"39493060"|"16554363"
"Toeslope"|"39493080"|"16554375"
|"39492988"|"16554322"
"Footslope"|"39492532"|"16554182"
"Backslope"|"39492532"|"16554183"
"Footslope"|"39493102"|"16554389"
"Backslope"|"39492539"|"16554184"
"Footslope"|"39493123"|"16554399"
"Backslope"|"39493091"|"16554383"
"Backslope"|"39493312"|"16554503"
"Backslope"|"39493112"|"16554391"
"Footslope"|"39492560"|"16554192"
"Backslope"|"39492560"|"16554193"
"Backslope"|"39492996"|"16554326"
"Footslope"|"39493216"|"16554451"
"Toeslope"|"39493216"|"16554452"
"Backslope"|"39492848"|"16554268"
"Backslope"|"39493146"|"16554414"
"Backslope"|"39492973"|"16554313"
"Footslope"|"39492985"|"16554320"
"Backslope"|"39493072"|"16554371"
"Backslope"|"39493059"|"16554362"
"Footslope"|"39493122"|"16554398"
"Backslope"|"39492800"|"16554259"
"Backslope"|"39493144"|"16554413"
"Backslope"|"39493133"|"16554406"
"Backslope"|"39493006"|"16554331"
"Footslope"|"39493028"|"16554341"
"Footslope"|"39492551"|"16554189"
"Backslope"|"39492551"|"16554190"
"Backslope"|"39493343"|"16554523"
"Summit"|"39492752"|"16554244"
"Backslope"|"39492405"|"16554133"
"Footslope"|"39493026"|"16554339"
"Backslope"|"39492989"|"16554323"
"Toeslope"|"39492984"|"16554319"
"Footslope"|"39493124"|"16554400"
"Backslope"|"39493135"|"16554408"
"Toeslope"|"39493083"|"16554377"
"Backslope"|"39493089"|"16554382"
"Backslope"|"39492794"|"16554255"
"Summit"|"39492472"|"16554155"
"Backslope"|"39492472"|"16554156"
"Footslope"|"39493126"|"16554401"
"Summit"|"39492572"|"16554197"
"Summit"|"39492750"|"16554243"
"Footslope"|"39493116"|"16554395"
"Backslope"|"39492994"|"16554325"
"Backslope"|"39492969"|"16554310"
"Footslope"|"39492527"|"16554180"
"Toeslope"|"39492527"|"16554181"
"Summit"|"39492678"|"16554229"
"Backslope"|"39492678"|"16554230"
|"39492614"|"16554212"
|"39492614"|"16554213"
"Footslope"|"39493115"|"16554394"
"Backslope"|"39493322"|"16554509"
"Shoulder"|"39492836"|"16554263"
"Summit"|"39493057"|"16554361"
"Summit"|"39492573"|"16554198"
"Backslope"|"39493042"|"16554352"
"Backslope"|"39493068"|"16554368"
"Backslope"|"39493318"|"16554507"
"Backslope"|"39493263"|"16554476"
"Backslope"|"39493056"|"16554360"
"Backslope"|"39493120"|"16554397"
|"39493009"|"16554332"
"Shoulder"|"39492450"|"16554146"
"Summit"|"39492450"|"16554147"
"Backslope"|"39493355"|"16554530"
"Shoulder"|"39493141"|"16554412"
"Backslope"|"39493344"|"16554524"
"Backslope"|"39493311"|"16554502"
"Footslope"|"39493046"|"16554355"
"Backslope"|"39492571"|"16554196"
"Backslope"|"39493053"|"16554358"
"Backslope"|"39492803"|"16554260"
"Footslope"|"39493134"|"16554407"
"Shoulder"|"39493130"|"16554405"
"Footslope"|"39493315"|"16554505"
"Backslope"|"39493341"|"16554522"
"Backslope"|"39492402"|"16554132"
"Footslope"|"39493027"|"16554340"
|"39493001"|"16554328"
"Backslope"|"39493093"|"16554384"
"Shoulder"|"39493352"|"16554529"
"Summit"|"39492845"|"16554266"
"Backslope"|"39492845"|"16554267"
"Summit"|"39493267"|"16554479"
"Backslope"|"39493167"|"16554430"
"Footslope"|"39493340"|"16554521"
"Footslope"|"39493097"|"16554386"
"Footslope"|"39493256"|"16554472"
"Backslope"|"39493049"|"16554356"
"Backslope"|"39493171"|"16554432"
"Backslope"|"39492981"|"16554318"
"Footslope"|"39493016"|"16554336"
"Summit"|"39493119"|"16554396"
"Footslope"|"39493293"|"16554496"
"Backslope"|"39493351"|"16554528"
"Backslope"|"39492971"|"16554311"
"Backslope"|"39493182"|"16554436"
"Summit"|"39493038"|"16554349"
"Backslope"|"39493071"|"16554370"
"Backslope"|"39493075"|"16554372"
"Footslope"|"39493101"|"16554388"
"Summit"|"39492877"|"16554269"
"Backslope"|"39493319"|"16554508"
"Backslope"|"39493266"|"16554478"
"Footslope"|"39493295"|"16554498"
"Summit"|"39492979"|"16554317"
"Shoulder"|"39493308"|"16554501"
"Backslope"|"39493065"|"16554366"
"Backslope"|"39493076"|"16554373"
"Backslope"|"39493138"|"16554410"
"Footslope"|"39493127"|"16554402"
"Backslope"|"39493086"|"16554380"
"Summit"|"39493034"|"16554345"
"Shoulder"|"39493034"|"16554346"
"Summit"|"39493262"|"16554475"
"Shoulder"|"39493347"|"16554526"
"Footslope"|"39493128"|"16554403"
"Backslope"|"39492975"|"16554314"
"Backslope"|"39493054"|"16554359"
"Shoulder"|"39492839"|"16554264"
"Backslope"|"39493170"|"16554431"
"Backslope"|"39492558"|"16554191"
"Backslope"|"39492972"|"16554312"
"Footslope"|"39493045"|"16554354"
"Summit"|"39493066"|"16554367"
"Backslope"|"39492795"|"16554256"
"Summit"|"39493043"|"16554353"
|"39492993"|"16554324"
"Backslope"|"39493306"|"16554499"
"Footslope"|"39493024"|"16554337"
"Backslope"|"39493316"|"16554506"
"Backslope"|"39492842"|"16554265"
"Backslope"|"39493085"|"16554379"
"Backslope"|"39493140"|"16554411"
"Backslope"|"39493137"|"16554409"
|"39493004"|"16554330"
"Footslope"|"39493211"|"16554449"
"Toeslope"|"39493211"|"16554450"
"Backslope"|"39492566"|"16554194"
"Backslope"|"39493002"|"16554329"
"Footslope"|"39493015"|"16554335"
"Summit"|"39492473"|"16554157"
"Backslope"|"39492473"|"16554158"
"Footslope"|"39492699"|"16554234"
"Backslope"|"39492699"|"16554235"
"Footslope"|"39492546"|"16554187"
"Toeslope"|"39492546"|"16554188"
"Backslope"|"39493179"|"16554434"
"Toeslope"|"39493063"|"16554365"
"Backslope"|"39493307"|"16554500"
"Backslope"|"39493129"|"16554404"
"Shoulder"|"39493313"|"16554504"
"Summit"|"39492567"|"16554195"
"Backslope"|"39492799"|"16554258"
"Backslope"|"39493010"|"16554333"
"Footslope"|"39492609"|"16554210"
"Toeslope"|"39492609"|"16554211"
"Backslope"|"39493357"|"16554531"
"Footslope"|"39493114"|"16554393"
"Backslope"|"39493346"|"16554525"
"Summit"|"39493036"|"16554347"
"Shoulder"|"39493036"|"16554348"
"Backslope"|"39492978"|"16554316"
"Footslope"|"39493183"|"16554437"
"Toeslope"|"39493183"|"16554438"
"Backslope"|"39493099"|"16554387"
"Footslope"|"39493188"|"16554439"
"Toeslope"|"39493188"|"16554440"
"Summit"|"39493265"|"16554477"
"Summit"|"39493032"|"16554343"
"Shoulder"|"39493032"|"16554344"
"Backslope"|"39493180"|"16554435"
"Summit"|"39493040"|"16554350"
"Shoulder"|"39493040"|"16554351"
"Footslope"|"39493014"|"16554334"
"Backslope"|"39493350"|"16554527"
"Toeslope"|"39493095"|"16554385"
"Backslope"|"39492798"|"16554257"
|"39492987"|"16554321"
"Footslope"|"39493206"|"16554447"
"Toeslope"|"39493206"|"16554448"
"Backslope"|"39492672"|"16554226"
"Summit"|"39493069"|"16554369"
"Backslope"|"39493077"|"16554374"
"Footslope"|"39492694"|"16554232"
"Backslope"|"39492694"|"16554233"
"Summit"|"39493051"|"16554357"
"Footslope"|"39493025"|"16554338"
"Summit"|"39492976"|"16554315"
"Footslope"|"39493062"|"16554364"
"Summit"|"39492808"|"16554262"
"Footslope"|"39493257"|"16554473"
"Footslope"|"39493084"|"16554378"
