"Fine sandy loam"||"149610734"|"152155893"
"Fine sandy loam"||"149610729"|"152155888"
"Fine sandy loam"||"149610730"|"152155889"
|"Bedrock"|"149610728"|"152155887"
|"Unweathered bedrock"|"149609863"|"152155017"
"Sandy loam"||"149609860"|"152155014"
"Loam"||"149609861"|"152155015"
"Sandy loam"||"149609862"|"152155016"
|"Weathered bedrock"|"149609869"|"152155023"
"Fine sandy loam"||"149609865"|"152155019"
"Loam"||"149609866"|"152155020"
"Sandy loam"||"149609867"|"152155021"
"Fine sandy loam"||"149609868"|"152155022"
"Fine sandy loam"||"149609864"|"152155018"
|"Bedrock"|"149609870"|"152155024"
"Sandy loam"||"149610735"|"152155894"
"Sandy loam"||"149610736"|"152155895"
"Sandy loam"||"149610737"|"152155896"
|"Bedrock"|"149610743"|"152155902"
"Sandy loam"||"149610738"|"152155897"
"Sandy loam"||"149610739"|"152155898"
"Sandy loam"||"149610740"|"152155899"
"Sandy loam"||"149610741"|"152155900"
"Sandy loam"||"149610742"|"152155901"
"Sandy loam"||"149610744"|"152155903"
"Fine sandy loam"||"149610745"|"152155904"
"Loam"||"149610746"|"152155905"
"Sandy loam"||"149610747"|"152155906"
"Fine sandy loam"||"149610748"|"152155907"
"Loam"||"149610749"|"152155908"
|"Bedrock"|"149610750"|"152155909"
|"Bedrock"|"149610751"|"152155910"
|"Bedrock"|"149610752"|"152155911"
"Fine sandy loam"||"149610753"|"152155912"
"Fine sandy loam"||"149610754"|"152155913"
"Fine sandy loam"||"149610755"|"152155914"
"Fine sandy loam"||"149610756"|"152155915"
"Loam"||"149610757"|"152155916"
"Sandy loam"||"149610758"|"152155917"
"Sandy loam"||"149609877"|"152155031"
"Sandy loam"||"149609878"|"152155032"
"Sandy loam"||"149609871"|"152155025"
"Sandy loam"||"149609872"|"152155026"
"Sandy loam"||"149609873"|"152155027"
|"Bedrock"|"149609879"|"152155033"
"Sandy loam"||"149609874"|"152155028"
"Sandy loam"||"149609875"|"152155029"
"Sandy loam"||"149609876"|"152155030"
|"Bedrock"|"149609880"|"152155034"
|"Bedrock"|"149609886"|"152155040"
"Loam"||"149609883"|"152155037"
"Sandy loam"||"149609884"|"152155038"
"Fine sandy loam"||"149609885"|"152155039"
"Sandy loam"||"149609881"|"152155035"
"Fine sandy loam"||"149609882"|"152155036"
"Fine sandy loam"||"149609892"|"152155046"
"Sandy loam"||"149609893"|"152155047"
"Sandy loam"||"149609894"|"152155048"
"Loam"||"149609895"|"152155049"
"Sandy loam"||"149609896"|"152155050"
"Fine sandy loam"||"149609897"|"152155051"
"Fine sandy loam"||"149609887"|"152155041"
"Fine sandy loam"||"149609888"|"152155042"
"Loam"||"149609889"|"152155043"
"Fine sandy loam"||"149609890"|"152155044"
"Loam"||"149609891"|"152155045"
|"Bedrock"|"149609904"|"152155058"
"Fine sandy loam"||"149609900"|"152155054"
"Fine sandy loam"||"149609901"|"152155055"
"Loam"||"149609902"|"152155056"
"Sandy loam"||"149609903"|"152155057"
"Fine sandy loam"||"149609898"|"152155052"
"Fine sandy loam"||"149609899"|"152155053"
"Sandy loam"||"149609223"|"152154373"
"Loam"||"149609224"|"152154374"
"Fine sandy loam"||"149609225"|"152154375"
"Loam"||"149609226"|"152154376"
"Sandy loam"||"149609227"|"152154377"
"Loam"||"149609228"|"152154378"
"Fine sandy loam"||"149609229"|"152154379"
"Fine sandy loam"||"149609221"|"152154371"
"Loam"||"149609222"|"152154372"
"Fine sandy loam"||"149609230"|"152154380"
"Loam"||"149609231"|"152154381"
"Sandy loam"||"149609236"|"152154386"
"Loam"||"149609237"|"152154387"
"Fine sandy loam"||"149609238"|"152154388"
"Sandy loam"||"149609232"|"152154382"
"Loam"||"149609233"|"152154383"
"Fine sandy loam"||"149609234"|"152154384"
"Loam"||"149609235"|"152154385"
|"Boulders"|"149609239"|"152154389"
"Sandy clay loam"||"149609240"|"152154390"
"Loamy sand"||"149609243"|"152154393"
"Sandy loam"||"149609244"|"152154394"
"Sandy loam"||"149609245"|"152154395"
"Sandy loam"||"149609241"|"152154391"
"Fine sandy loam"||"149609242"|"152154392"
"Sandy clay loam"||"149609249"|"152154399"
"Sandy loam"||"149609250"|"152154400"
"Loam"||"149609251"|"152154401"
"Loam"||"149609253"|"152154403"
"Fine sandy loam"||"149609254"|"152154404"
"Sandy loam"||"149609255"|"152154405"
"Sandy clay loam"||"149609246"|"152154396"
"Fine sandy loam"||"149609247"|"152154397"
"Sandy loam"||"149609248"|"152154398"
"Fine sandy loam"||"149609252"|"152154402"
"Sandy clay loam"||"149609256"|"152154406"
"Sandy loam"||"149609257"|"152154407"
"Fine sandy loam"||"149609258"|"152154408"
"Loamy sand"||"149609259"|"152154409"
"Sandy loam"||"149609260"|"152154410"
"Sandy loam"||"149609261"|"152154411"
|"Boulders"|"149609262"|"152154412"
"Fine sandy loam"||"149609263"|"152154413"
"Sandy clay loam"||"149609270"|"152154420"
"Sandy loam"||"149609271"|"152154421"
"Loam"||"149609272"|"152154422"
"Sandy clay loam"||"149609267"|"152154417"
"Fine sandy loam"||"149609268"|"152154418"
"Sandy loam"||"149609269"|"152154419"
"Loam"||"149609264"|"152154414"
"Fine sandy loam"||"149609265"|"152154415"
"Sandy loam"||"149609266"|"152154416"
|"Boulders"|"149609905"|"152155059"
"Fine sandy loam"||"149609906"|"152155060"
"Loam"||"149609907"|"152155061"
"Fine sandy loam"||"149609908"|"152155062"
"Sandy loam"||"149609909"|"152155063"
"Sandy clay loam"||"149609910"|"152155064"
"Fine sandy loam"||"149609911"|"152155065"
"Sandy loam"||"149609912"|"152155066"
"Sandy clay loam"||"149609913"|"152155067"
"Sandy loam"||"149609914"|"152155068"
"Loam"||"149609915"|"152155069"
"Sandy loam"||"149609917"|"152155071"
"Fine sandy loam"||"149609918"|"152155072"
"Loamy sand"||"149609919"|"152155073"
"Sandy loam"||"149609920"|"152155074"
"Sandy loam"||"149609921"|"152155075"
"Sandy clay loam"||"149609916"|"152155070"
"Fine sandy loam"||"149610759"|"152155918"
"Sand"||"149610763"|"152155922"
"Sand"||"149610764"|"152155923"
"Coarse sand"||"149610765"|"152155924"
"Sand"||"149610760"|"152155919"
"Sand"||"149610761"|"152155920"
"Loamy sand"||"149610762"|"152155921"
"Coarse sand"||"149610767"|"152155926"
"Sand"||"149610768"|"152155927"
"Loamy sand"||"149610769"|"152155928"
"Fine sandy loam"||"149610766"|"152155925"
"Sandy clay loam"||"149609992"|"152155146"
"Loam"||"149609993"|"152155147"
"Clay loam"||"149609994"|"152155148"
"Sandy clay loam"||"149609995"|"152155149"
"Loam"||"149609996"|"152155150"
"Sandy loam"||"149609997"|"152155151"
"Sandy clay loam"||"149609990"|"152155144"
"Loam"||"149609991"|"152155145"
"Fine sandy loam"||"149609998"|"152155152"
"Loam"||"149609999"|"152155153"
"Sandy loam"||"149610000"|"152155154"
"Loam"||"149610001"|"152155155"
"Sandy loam"||"149610002"|"152155156"
"Fine sandy loam"||"149610003"|"152155157"
"Fine sandy loam"||"149610004"|"152155158"
"Loam"||"149610005"|"152155159"
"Silty clay"||"149610008"|"152155162"
"Clay loam"||"149610009"|"152155163"
"Clay"||"149610010"|"152155164"
"Loam"||"149610011"|"152155165"
"Clay loam"||"149610012"|"152155166"
"Fine sandy loam"||"149610013"|"152155167"
"Loam"||"149610006"|"152155160"
"Clay loam"||"149610007"|"152155161"
"Loam"||"149610017"|"152155171"
"Fine sandy loam"||"149610018"|"152155172"
"Fine sandy loam"||"149610019"|"152155173"
"Sandy loam"||"149610020"|"152155174"
"Sandy loam"||"149610021"|"152155175"
"Sandy loam"||"149610022"|"152155176"
"Fine sandy loam"||"149610023"|"152155177"
"Sand"||"149610014"|"152155168"
"Sand"||"149610015"|"152155169"
"Sand"||"149610016"|"152155170"
"Sand"||"149610030"|"152155184"
"Sand"||"149610031"|"152155185"
"Sand"||"149610032"|"152155186"
"Loamy fine sand"||"149610027"|"152155181"
"Sandy loam"||"149610028"|"152155182"
"Loamy sand"||"149610029"|"152155183"
"Fine sandy loam"||"149610033"|"152155187"
"Loamy sand"||"149610024"|"152155178"
"Sand"||"149610025"|"152155179"
"Loamy sand"||"149610026"|"152155180"
"Fine sandy loam"||"149610034"|"152155188"
"Loam"||"149610035"|"152155189"
"Sandy loam"||"149610039"|"152155193"
"Sandy loam"||"149610040"|"152155194"
"Sandy loam"||"149610041"|"152155195"
"Loamy sand"||"149610042"|"152155196"
"Sandy clay loam"||"149610036"|"152155190"
"Loam"||"149610037"|"152155191"
"Clay loam"||"149610038"|"152155192"
"Loam"||"149610046"|"152155200"
"Sandy loam"||"149610047"|"152155201"
"Sandy loam"||"149610048"|"152155202"
"Loam"||"149610043"|"152155197"
"Clay loam"||"149610044"|"152155198"
"Sandy clay loam"||"149610045"|"152155199"
"Sandy clay loam"||"149610052"|"152155206"
"Loam"||"149610053"|"152155207"
"Sandy loam"||"149610054"|"152155208"
"Loam"||"149610049"|"152155203"
"Clay loam"||"149610050"|"152155204"
