"t"|"73894242"|"31700843"
"p"|"73894239"|"31700841"
"t"|"73894240"|"31700842"
"p"|"73894245"|"31700844"
"t"|"73894246"|"31700845"
"g"|"73894250"|"31700848"
"p"|"73894248"|"31700846"
"t"|"73894249"|"31700847"
"w"|"73895284"|"31701448"
"w"|"73894267"|"31700857"
"w"|"73895286"|"31701449"
"w"|"73895289"|"31701450"
"w"|"73894947"|"31701246"
"w"|"73895291"|"31701451"
"w"|"73894319"|"31700879"
"w"|"73894324"|"31700880"
"r"|"73894326"|"31700881"
"w"|"73894328"|"31700882"
"w"|"73894331"|"31700883"
"w"|"73895292"|"31701452"
"w"|"73895298"|"31701453"
"w"|"73895301"|"31701454"
"w"|"73895305"|"31701456"
"r"|"73895303"|"31701455"
"w"|"73894949"|"31701247"
"r"|"73894953"|"31701249"
"w"|"73894952"|"31701248"
"w"|"73895306"|"31701457"
"w"|"73895311"|"31701458"
"r"|"73895314"|"31701459"
"w"|"73895316"|"31701460"
"w"|"73894955"|"31701250"
"w"|"73894961"|"31701251"
"w"|"73894963"|"31701252"
"r"|"73894968"|"31701254"
"w"|"73894967"|"31701253"
"w"|"73894692"|"31701095"
"w"|"73894695"|"31701096"
"w"|"73894699"|"31701097"
"w"|"73894704"|"31701099"
"w"|"73894701"|"31701098"
"w"|"73894706"|"31701100"
"w"|"73894711"|"31701102"
"w"|"73894710"|"31701101"
"w"|"73894971"|"31701255"
"w"|"73894972"|"31701256"
"w"|"73894975"|"31701257"
"p"|"73895317"|"31701461"
"g"|"73895321"|"31701462"
"t"|"73895002"|"31701279"
"g"|"73895003"|"31701280"
"p"|"73895001"|"31701278"
"w"|"73895004"|"31701281"
|"73895005"|"31701282"
"p"|"73895006"|"31701283"
"t"|"73895008"|"31701285"
"g"|"73895008"|"31701286"
"g"|"73895009"|"31701287"
"p"|"73895007"|"31701284"
"p"|"73895011"|"31701288"
"w"|"73895012"|"31701289"
"b"|"73895014"|"31701290"
"p"|"73895016"|"31701291"
"p"|"73895017"|"31701292"
"t"|"73895018"|"31701293"
"t"|"73895020"|"31701294"
"g"|"73895023"|"31701296"
