"SP-SM"|No |"73894693"|"137061206"
"GP-GM"|No |"73894693"|"137061207"
"GM"|No |"73894691"|"137061198"
"SM"|Yes|"73894691"|"137061199"
"SP-SM"|No |"73894691"|"137061200"
"GP-GM"|No |"73894691"|"137061201"
"GM"|No |"73894694"|"137061208"
"SM"|Yes|"73894694"|"137061209"
"SP-SM"|No |"73894694"|"137061210"
"GP-GM"|No |"73894694"|"137061211"
"GM"|No |"73894696"|"137061214"
"SM"|Yes|"73894696"|"137061215"
"SP-SM"|No |"73894696"|"137061216"
"GP-GM"|No |"73894696"|"137061217"
"GM"|No |"73894695"|"137061212"
"SM"|Yes|"73894695"|"137061213"
"GW"|Yes|"73894697"|"137061218"
"SM"|Yes|"73894698"|"137061219"
"GM"|No |"73894700"|"137061222"
"SM"|Yes|"73894700"|"137061223"
"SP-SM"|No |"73894700"|"137061224"
"GM"|No |"73894699"|"137061220"
"SM"|Yes|"73894699"|"137061221"
"GM"|No |"73894702"|"137061226"
"SC-SM"|No |"73894702"|"137061227"
"SM"|Yes|"73894702"|"137061228"
"ML"|Yes|"73894704"|"137061230"
"SM"|No |"73894704"|"137061231"
"SM"|Yes|"73894701"|"137061225"
"SM"|Yes|"73894703"|"137061229"
"SM"|Yes|"73894705"|"137061232"
"GM"|No |"73894706"|"137061233"
"SM"|Yes|"73894706"|"137061234"
"GM"|No |"73894707"|"137061235"
"SM"|Yes|"73894707"|"137061236"
"SP-SM"|No |"73894707"|"137061237"
"GW"|Yes|"73894708"|"137061238"
"SM"|Yes|"73894709"|"137061239"
"GM"|No |"73894712"|"137061243"
"SC-SM"|No |"73894712"|"137061244"
"SM"|Yes|"73894712"|"137061245"
"SM"|Yes|"73894711"|"137061242"
"ML"|Yes|"73894710"|"137061240"
"SM"|No |"73894710"|"137061241"
"GW"|Yes|"73894969"|"137061742"
"SM"|Yes|"73894970"|"137061743"
"ML"|Yes|"73894971"|"137061744"
"SM"|No |"73894971"|"137061745"
"SM"|Yes|"73894972"|"137061746"
"GM"|No |"73894973"|"137061747"
"SC-SM"|No |"73894973"|"137061748"
"SM"|Yes|"73894973"|"137061749"
"GM"|No |"73894975"|"137061751"
"SM"|Yes|"73894975"|"137061752"
"GM"|No |"73894976"|"137061753"
"SM"|Yes|"73894976"|"137061754"
"SP-SM"|No |"73894976"|"137061755"
"SM"|Yes|"73894974"|"137061750"
"SM"|Yes|"73895317"|"137062379"
"GW-GM"|Yes|"73895319"|"137062384"
"GM"|No |"73895319"|"137062385"
"GP"|No |"73895319"|"137062386"
"GP-GM"|No |"73895319"|"137062387"
"SP"|No |"73895319"|"137062388"
"GM"|No |"73895318"|"137062380"
"GP-GM"|Yes|"73895318"|"137062381"
"SP"|No |"73895318"|"137062382"
"GP"|No |"73895318"|"137062383"
