site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
O,21,2021,1,1,100,12.56,12.83,12.71,97.4,100,99.2,14.4,14.84,14.58,0.91,2.12,15,0.55,201,51.31,0,0
O,21,2021,1,1,200,12.83,13.03,12.93,98.9,100,99.9,14.8,14.98,14.88,0.6,1.8,102,0.18,63.68,67.78,0,0
O,21,2021,1,1,300,12.76,13.1,12.95,100,100,100,14.78,15.11,14.96,0.96,2.22,206,0.66,232.7,45.3,0,0
O,21,2021,1,1,400,13.03,13.31,13.17,99.2,100,100,15.03,15.25,15.14,0.83,1.68,326,0.42,208.5,57.05,0,0
O,21,2021,1,1,500,12.97,13.31,13.13,99.8,100,100,14.97,15.25,15.13,0.69,1.77,435,0.25,250.9,64.86,0,0.1
O,21,2021,1,1,600,13.03,13.37,13.26,100,100,100,15.04,15.38,15.27,1.26,2.55,515,0.62,174,57.79,0,0.1
O,21,2021,1,1,700,13.24,13.58,13.4,98.2,100,100,15.25,15.52,15.36,1.74,2.81,659,1.11,194.1,48.72,0,0.1
O,21,2021,1,1,800,12.9,13.65,13.2,98,100,99.4,14.82,15.4,15.07,2.36,3.74,742,1.45,203.9,50.25,0.82,0.15
O,21,2021,1,1,900,12.76,13.1,12.91,97.8,100,99.3,14.64,14.94,14.77,2.47,4.43,820,1.21,177.2,57.79,17.47,1.11
O,21,2021,1,1,1000,12.63,12.97,12.75,97.7,100,99.4,14.47,14.81,14.64,2.11,4.34,933,1.25,190.9,51.84,33.04,1.91
O,21,2021,1,1,1100,12.42,12.83,12.62,96.9,100,99.2,14.28,14.77,14.49,2.1,3.78,1018,1.4,208.3,46.7,67.03,3.86
O,21,2021,1,1,1200,12.29,12.63,12.43,97.5,100,99.3,14.18,14.48,14.31,1.97,4.02,1133,0.88,208.1,60.31,29.11,1.54
O,21,2021,1,1,1300,12.15,12.53,12.36,98.9,100,99.9,14.16,14.51,14.34,1.54,3.8,1205,1.06,208.4,45.22,60.04,3.19
O,21,2021,1,1,1400,12.01,12.49,12.21,100,100,100,14.03,14.48,14.22,0.94,2.33,1336,0.02,58.41,80.3,46.49,2.47
O,21,2021,1,1,1500,11.88,12.97,12.33,100,100,100,13.91,14.94,14.33,1.03,2.55,1454,0.51,34.59,57.72,119,7.26
O,21,2021,1,1,1600,11.81,12.69,12.18,99.1,100,99.9,13.77,14.67,14.17,1.05,1.92,1503,0.52,76.42,57.34,110.3,6.84
O,21,2021,1,1,1700,12.15,12.76,12.42,97,100,98.9,14.05,14.61,14.25,1.67,2.98,1612,0.67,185.8,62.61,30.84,1.89
O,21,2021,1,1,1800,12.29,12.69,12.5,96.8,99.7,98.4,14.09,14.38,14.25,1.58,3.14,1800,0.57,172.3,64.86,4.57,0.34
O,21,2021,1,1,1900,12.35,12.8,12.58,97.6,100,98.8,14.13,14.69,14.39,1.94,3.37,1827,1.03,186.6,55.36,0,0.07
O,21,2021,1,1,2000,11.61,12.56,12.21,97.7,100,98.9,13.55,14.4,14.07,1.76,3.06,1901,1.09,159.4,50,0,0.07
O,21,2021,1,1,2100,11.68,13.72,12.77,86.8,98.9,93.5,13.42,14.06,13.78,2.17,5,2052,1.06,244.8,57.97,0,0.06
O,21,2021,1,1,2200,12.66,13.92,13.41,84,91.7,86.9,13.13,13.69,13.36,2.33,3.7,2136,1.79,241.8,39.31,0,0.07
O,21,2021,1,1,2300,12.35,14.29,13.58,80.4,90.2,84.7,12.87,13.57,13.16,2.4,4.28,2240,1.24,262.7,56.2,0,0
O,21,2021,1,1,2400,10.89,12.66,11.74,88.2,97.9,93.3,12.52,13.14,12.85,1.63,3.22,2322,0.11,342.2,78.31,0,0
O,21,2021,1,2,100,10.46,11.54,10.72,93.3,100,98.9,12.6,12.94,12.74,1.19,2.12,3,0.92,27.99,38.11,0,0
O,21,2021,1,2,200,10.66,10.93,10.75,98.3,100,99.8,12.73,12.99,12.87,1.13,2.4,108,0.89,41.07,37.33,0,0
O,21,2021,1,2,300,10.36,10.66,10.54,99.9,100,100,12.6,12.86,12.75,0.76,1.7,207,0.69,16.9,23.7,0,0
O,21,2021,1,2,400,9.71,10.49,10.17,100,100,100,12.06,12.71,12.44,0.5,1.15,354,0.34,15.54,45.96,0,0
O,21,2021,1,2,500,9.51,9.98,9.71,100,100,100,11.9,12.29,12.06,0.38,0.95,431,0.25,340.2,46.52,0,0.05
O,21,2021,1,2,600,9.44,9.92,9.72,100,100,100,11.85,12.23,12.07,0.52,0.95,548,0.35,7.51,45.87,0,0.05
O,21,2021,1,2,700,9.17,9.78,9.45,100,100,100,11.63,12.12,11.86,0.42,0.99,611,0.22,346.8,56.05,0,0.05
O,21,2021,1,2,800,8.69,9.37,8.94,100,100,100,11.24,11.79,11.44,0.45,1.13,721,0.2,354.1,60.51,3.49,0.24
O,21,2021,1,2,900,8.42,9.44,8.75,100,100,100,11.03,11.82,11.28,0.46,1.41,816,0.01,116.6,80.2,48.21,2.94
O,21,2021,1,2,1000,9.57,11.85,10.68,87.5,100,96.6,11.79,13.01,12.4,0.48,1.05,943,0.27,209.4,53.54,166.6,10.64
O,21,2021,1,2,1100,12.02,15.35,13.26,72.82,94.9,85.8,12.14,14.22,13.04,0.91,1.73,1029,0.62,223.7,45.9,308.5,19.36
O,21,2021,1,2,1200,14.19,15.48,14.71,66.77,81,72.38,11.03,13.57,12.11,1.02,2.2,1150,0.56,182.3,54.66,661.4,38.79
O,21,2021,1,2,1300,15.52,16.64,16.12,54.8,77.85,63.32,10.13,13.86,11.59,1.09,1.88,1217,0.65,166.9,51.14,465.1,28.55
