site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
O,28,2021,1,1,100,10.22,10.42,10.32,99.8,99.9,99.8,12.43,12.61,12.51,2.2,3.8,1,2.07,205.8,20.13,0,0
O,28,2021,1,1,200,10.36,10.63,10.51,99.8,99.9,99.8,12.54,12.78,12.67,2.19,3.82,102,1.9,204.6,29.83,0,0
O,28,2021,1,1,300,10.56,10.76,10.66,99.8,99.9,99.8,12.72,12.9,12.8,2.3,3.19,241,2.14,216.2,21.17,0,0
O,28,2021,1,1,400,10.63,10.83,10.72,99.8,99.9,99.8,12.77,12.96,12.86,2.39,3.33,311,2.3,214.4,15.44,0,0
O,28,2021,1,1,500,10.56,10.69,10.64,99.8,99.9,99.8,12.72,12.84,12.78,2.95,3.71,420,2.8,224.2,18.1,0,0
O,28,2021,1,1,600,10.63,10.96,10.81,99.8,100,99.8,12.77,13.07,12.93,2.72,4.15,548,2.61,220.3,15.98,0,0
O,28,2021,1,1,700,10.69,11.1,10.92,99.8,99.9,99.8,12.83,13.19,13.03,3.02,4.62,645,2.82,204.6,20.56,0,0
O,28,2021,1,1,800,10.83,11.1,10.97,99.8,99.9,99.8,12.95,13.19,13.07,3.45,6.07,709,3.24,211.5,19.84,0.35,0
O,28,2021,1,1,900,10.36,11.03,10.74,99.8,100,99.8,12.55,13.14,12.87,3.94,5.84,847,3.6,213.2,23.65,6.89,0
O,28,2021,1,1,1000,10.15,10.49,10.27,99.8,99.9,99.8,12.38,12.67,12.47,3.47,5.25,909,3.25,214.4,20.37,17.51,0
O,28,2021,1,1,1100,10.08,10.42,10.21,99.8,99.9,99.8,12.32,12.61,12.43,3.51,5.03,1028,3.34,216.4,17.84,28.7,0
O,28,2021,1,1,1200,10.08,10.29,10.14,99.4,99.9,99.8,12.27,12.5,12.36,3.48,5.81,1133,3.3,215.5,18.23,18.76,0
O,28,2021,1,1,1300,10.15,10.56,10.28,97.7,99.9,99.1,12.25,12.67,12.39,2.84,5.08,1211,2.65,212.2,20.54,54.24,0
O,28,2021,1,1,1400,9.95,11.03,10.48,95.8,99.8,98.2,12.08,12.91,12.45,2.31,4.08,1310,1.78,212.9,38.71,54.24,0
O,28,2021,1,1,1500,10.42,11.24,10.83,97.3,99.6,98.5,12.5,13.16,12.78,2.77,4.72,1457,2.63,192.2,18.43,99.8,0
O,28,2021,1,1,1600,10.29,11.64,10.82,97.3,99.9,98.9,12.42,13.37,12.81,2.64,4.94,1551,1.73,188.3,47.53,84.8,0
O,28,2021,1,1,1700,10.15,11.37,10.47,97.1,100,99.4,12.38,13.18,12.59,3.35,5.89,1650,2.94,190.4,28.38,10.37,0
O,28,2021,1,1,1800,10.15,10.63,10.43,99.8,100,99.8,12.38,12.78,12.61,3.57,5.81,1730,3.13,190.1,28.58,2.26,0
O,28,2021,1,1,1900,10.15,10.63,10.44,99.8,99.9,99.8,12.38,12.78,12.62,3.97,5.67,1849,3.56,188.9,26.21,0,0
O,28,2021,1,1,2000,9.81,10.76,10.36,99.8,100,99.8,12.1,12.89,12.55,5.08,6.64,1935,4.78,195.1,19.61,0,0
O,28,2021,1,1,2100,9.88,10.22,10.11,96,99.9,98.5,11.78,12.44,12.18,5.71,7.33,2033,5.33,186.8,20.86,0,0
O,28,2021,1,1,2200,9.88,10.36,10.16,93.5,96.6,95,11.6,11.93,11.78,5.44,6.96,2117,5.17,187.3,18.04,0,0
O,28,2021,1,1,2300,10.02,10.49,10.23,91.7,94.8,93.5,11.4,11.8,11.65,3.7,5.75,2213,3.26,187.6,28.05,0,0
O,28,2021,1,1,2400,9.68,10.22,9.94,90.9,94.6,92.5,11.15,11.54,11.31,1.23,2.29,2301,0.71,254.8,52.4,0,0
O,28,2021,1,2,100,8.32,9.68,8.97,92,99.8,96.3,10.94,11.17,11.02,1.59,3.3,21,1.41,10.9,26.81,0,0
O,28,2021,1,2,200,8.32,8.39,8.34,99.8,99.9,99.8,10.94,11,10.96,1.75,2.63,108,1.68,5.14,16.49,0,0
O,28,2021,1,2,300,7.92,8.39,8.13,99.8,99.9,99.8,10.64,10.99,10.8,1.15,1.93,226,1.07,0.2,21.69,0,0
O,28,2021,1,2,400,7.78,8.19,8,99.6,99.9,99.8,10.55,10.85,10.7,1.03,1.8,336,0.85,350.1,33.76,0,0
O,28,2021,1,2,500,7.92,8.26,8.09,97.4,99.7,98.6,10.49,10.83,10.63,0.88,1.64,437,0.5,343,53.53,0,0
O,28,2021,1,2,600,7.72,8.06,7.92,98.3,99.8,99.2,10.39,10.74,10.57,1.02,1.49,556,0.72,340.8,44.05,0,0
O,28,2021,1,2,700,7.38,7.78,7.6,96.9,99.1,97.9,9.99,10.47,10.22,0.92,1.81,620,0.58,337.6,49.21,0,0
O,28,2021,1,2,800,7.45,7.79,7.58,96.7,99.4,98.2,10.1,10.4,10.23,0.66,1.21,732,0.21,352.7,66.77,6.46,0
O,28,2021,1,2,900,7.58,8.46,7.98,95.6,99.9,98.7,10.24,10.99,10.57,0.76,1.4,835,0.11,179.1,74.84,101,1.28
O,28,2021,1,2,1000,8.05,10.22,9.26,85.1,97.4,92,10.16,11.86,10.74,1.08,1.81,1000,0.58,78.23,54.82,277.4,13.16
O,28,2021,1,2,1100,9.95,11.71,10.63,77.5,91.3,85,10.38,11.41,10.87,1.29,1.77,1046,1.03,78.34,36.51,499.6,15.91
O,28,2021,1,2,1200,11.24,13.67,12.29,68.29,82.8,74.97,10.1,11.53,10.7,1.31,1.9,1122,0.89,75.9,45.51,857,29.27
O,28,2021,1,2,1300,12.52,13.74,13.08,59.22,70.93,65.32,8.94,11.01,9.83,1,1.74,1226,0.73,75.3,42.36,642.3,24.75
O,28,2021,1,2,1400,12.65,13.53,13.01,61.93,71.81,66.81,9.38,10.55,10,1.02,1.88,1344,0.82,55.14,36.05,379.7,18.66
O,28,2021,1,2,1500,12.52,13.27,12.95,53.47,67.61,60.42,8.07,10.21,9.01,1.31,2.42,1401,1.23,20.37,19.1,309.5,9.82
O,28,2021,1,2,1600,12.32,13.13,12.62,54.21,67.95,62.11,8.04,9.9,9.06,0.48,1.38,1518,0.38,8.23,36.29,121.2,2.65
O,28,2021,1,2,1700,11.78,12.39,12.13,64.03,69.17,66.17,9.04,9.77,9.36,0.41,1.6,1637,0.36,351.5,27.78,83.3,0
O,28,2021,1,2,1800,11.24,12.72,11.74,46.5,67.95,61.37,6.81,9.24,8.43,1.19,3.71,1756,0.12,283.8,76.96,11.21,0
O,28,2021,1,2,1900,12.18,12.93,12.53,35.26,49.61,41.65,5.23,7.04,6.04,2.5,3.63,1801,2.37,214.4,18.4,0,0
O,28,2021,1,2,2000,10.83,12.39,11.51,37.16,55.36,45.83,5.32,7.21,6.19,1.94,3.79,1958,1.32,193.6,45.55,0,0
O,28,2021,1,2,2100,9.68,11.1,10.61,43.25,56.18,47.61,5.51,6.75,6.08,2.4,4.92,2019,1.95,199.9,35.07,0,0
O,28,2021,1,2,2200,8.32,10.15,9.42,47.38,78.92,59.26,5.87,8.65,6.97,2.18,3.78,2142,1.74,186.9,36.39,0,0
O,28,2021,1,2,2300,7.45,8.19,7.69,80.2,92.1,88.4,8.68,9.58,9.27,2.15,3.65,2214,1.69,181.4,37.44,0,0
