site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
O,21,2020,1,1,100,1.84,2.52,2.32,57.07,61.56,58.67,4.1,4.44,4.23,1.68,2.83,10,0.37,266.1,71.52,0.16,0
O,21,2020,1,1,200,0.75,2.25,1.5,56.94,66.8,61.12,4.02,4.36,4.16,1.36,2.78,105,0.71,255.3,55.98,0.1,0
O,21,2020,1,1,300,1.02,1.57,1.27,58.23,63.95,60.74,3.96,4.25,4.06,1.66,3.09,244,1.18,272.7,43.67,0.07,0
O,21,2020,1,1,400,-0.2,1.22,0.65,60.07,71.56,65.2,4.01,4.41,4.17,1.66,3.22,345,1.2,276.9,42.71,0.06,0
O,21,2020,1,1,500,-0.92,0.75,-0.08,64.83,75.92,70.26,4.1,4.43,4.26,1.43,3.11,411,1.14,268.6,36.47,0,0
O,21,2020,1,1,600,-0.88,0.54,-0.14,67.14,76.46,71.34,4.2,4.43,4.31,1.35,3.09,529,0.92,277,45.63,0,0
O,21,2020,1,1,700,-0.65,0.68,-0.02,65.17,73.81,69.37,4.13,4.34,4.23,0.95,1.84,700,0.16,316.3,73.74,0,0
O,21,2020,1,1,800,-0.75,0.14,-0.35,67.89,73.06,69.87,4.04,4.32,4.16,1.02,2.36,724,0.16,332.9,74.57,4.66,0.18
O,21,2020,1,1,900,-0.88,1.36,0.26,60,71.43,65.47,3.99,4.32,4.07,0.92,1.73,843,0.18,28.48,72.62,59.25,3.61
O,21,2020,1,1,1000,1.43,3.53,2.56,51.49,62.24,56.48,3.94,4.43,4.14,1.06,2.49,950,0.11,358.5,76.56,215.4,13.06
O,21,2020,1,1,1100,3.53,6.65,5.23,41.95,54.82,46.69,3.8,4.57,4.13,1.26,2.87,1043,0.26,288.9,72.3,428.1,22.97
O,21,2020,1,1,1200,5.66,7.94,6.81,34.47,43.72,39.33,3.64,4.36,3.88,1.53,2.79,1120,0.38,90.5,70.25,807,44.04
O,21,2020,1,1,1300,7.66,9.3,8.55,30.39,37.12,32.9,3.4,4.3,3.66,1.62,2.97,1256,0.74,281.2,59.78,612.8,33.2
O,21,2020,1,1,1400,8.89,10.72,9.67,28.22,33.45,30.23,3.37,4.23,3.63,1.57,2.95,1340,0.2,336.7,75.59,582.5,29.52
O,21,2020,1,1,1500,9.46,12.22,10.86,24.21,32.94,28.45,3.29,4.48,3.69,1.52,2.53,1431,0.41,216.9,69.08,294,19.82
O,21,2020,1,1,1600,9.97,11.47,10.8,25.12,32.09,27.94,3.36,3.97,3.61,1.42,3.09,1501,0.51,203.8,64.9,256.9,15.28
O,21,2020,1,1,1700,7.39,10.04,8.76,29.44,42.16,35.21,3.57,4.43,3.96,0.69,1.65,1610,0.23,73.37,65.95,68.71,4.07
O,21,2020,1,1,1800,5.43,7.53,6.39,39.1,46.85,43.23,3.89,4.45,4.15,0.54,0.95,1753,0.43,39.84,36.33,10.82,0.56
O,21,2020,1,1,1900,4.14,5.71,5.11,38.97,46.86,43.15,3.54,4.1,3.79,0.49,0.81,1847,0.25,345.3,56.24,0,0
O,21,2020,1,1,2000,3.81,4.86,4.21,38.91,44.69,41.87,3.22,3.71,3.45,0.42,0.65,1919,0.12,9.47,68.6,0,0
O,21,2020,1,1,2100,3.13,4.15,3.7,39.66,47.89,43.07,3.25,3.73,3.42,0.4,0.79,2029,0.09,355.6,70.7,0,0
O,21,2020,1,1,2200,3.4,4.01,3.83,41.63,48.43,44.94,3.3,3.81,3.61,0.38,0.63,2110,0.15,357.3,62.72,0,0
O,21,2020,1,1,2300,3.2,3.81,3.46,42.31,51.7,46.5,3.38,4.01,3.64,0.37,0.8,2235,0.17,77.76,59.49,0,0
O,21,2020,1,1,2400,3.2,3.61,3.44,43.26,52.24,46.83,3.42,4.05,3.66,0.4,0.97,2314,0.03,15.99,77.69,0,0
O,21,2020,1,2,100,2.24,3.33,2.72,48.4,64.56,55.9,3.74,4.7,4.15,0.55,1.24,57,0.11,12.98,72.55,0,0
O,21,2020,1,2,200,2.31,2.96,2.66,52.31,64.76,58.01,3.87,4.79,4.29,0.5,0.99,130,0.12,12.27,70.67,0,0
O,21,2020,1,2,300,2.48,3.47,2.89,48.16,65.58,57.99,3.77,4.8,4.35,0.48,0.89,255,0.22,357.5,59.29,0,0
O,21,2020,1,2,400,1.9,3.47,2.56,55.3,71.02,63.99,4.2,5.07,4.69,0.49,0.87,318,0.07,6.43,75.16,0,0
O,21,2020,1,2,500,2.04,2.79,2.3,58.3,71.46,66.34,4.34,5.08,4.78,0.58,1.08,414,0.17,359.8,68.42,0,0
O,21,2020,1,2,600,2.79,3.81,3.36,44.62,71.15,55.62,3.58,5.35,4.32,0.47,0.96,511,0.14,2.74,67.83,0,0
O,21,2020,1,2,700,2.11,2.82,2.33,67.55,74.21,70.69,4.91,5.35,5.1,0.61,1.13,645,0.09,277.2,74.71,0,0
O,21,2020,1,2,800,2.45,3.26,2.74,67.61,74.89,70.95,4.92,5.73,5.28,0.72,1.69,707,0.16,339.1,71.43,2.52,0.12
O,21,2020,1,2,900,3.19,3.87,3.51,61.28,83.9,75.01,4.89,6.63,5.89,0.48,0.97,845,0.08,18.2,73.62,41.04,2.03
