site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
O,28,2020,1,1,100,-1.54,-1,-1.29,67.58,71.44,69.53,3.76,3.95,3.86,1.4,3.33,8,0.86,32.16,50.65,0,0
O,28,2020,1,1,200,-2.15,-1.47,-1.87,69,73.07,70.82,3.68,3.85,3.77,1.24,3.22,157,0.38,359.7,67.41,0,0
O,28,2020,1,1,300,-1.88,-1.4,-1.66,67.78,71.44,69.53,3.68,3.82,3.76,3.02,5.12,250,2.7,32.02,26.73,0,0
O,28,2020,1,1,400,-2.08,-1.47,-1.76,67.65,73.27,70.55,3.69,3.86,3.79,3.98,5.89,340,3.69,22.48,21.65,0,0
O,28,2020,1,1,500,-2.49,-1.94,-2.2,72.25,76.79,74.34,3.81,3.91,3.86,3.04,4.39,402,2.94,26.63,14.44,0,0
O,28,2020,1,1,600,-2.21,-1.81,-1.97,69.82,74.96,72.01,3.74,3.89,3.81,3.84,5.67,531,3.76,21.32,11.82,0,0
O,28,2020,1,1,700,-2.01,-1.74,-1.91,66.77,71.51,69.68,3.59,3.77,3.7,3.54,4.74,622,3.5,23.25,9.17,0,0
O,28,2020,1,1,800,-1.81,-1.33,-1.57,63.65,67.51,65.27,3.51,3.61,3.55,3.44,4.67,730,3.36,18.63,12.37,10.36,0.69
O,28,2020,1,1,900,-1.4,-0.18,-0.87,58.64,65.01,62.1,3.45,3.67,3.56,3.23,4.31,836,3.08,17.18,17.25,143,8.26
O,28,2020,1,1,1000,-0.25,1.44,0.6,47.66,58.91,53.62,3.18,3.59,3.41,3.05,4.7,955,2.86,23.61,20,328.9,18.97
O,28,2020,1,1,1100,1.44,3.73,2.49,42.18,49.15,45.34,3.16,3.6,3.31,3.18,5.15,1005,3.03,27.87,17.3,590.4,22.01
O,28,2020,1,1,1200,3.4,5.21,4.32,37.7,43.67,41.37,3.21,3.64,3.44,2.69,4.5,1130,2.53,33.64,19.67,968,35.07
O,28,2020,1,1,1300,4.61,5.48,5.14,36.55,41.49,39.3,3.24,3.7,3.46,2.66,4.48,1204,2.43,31.03,23.76,814,34.48
O,28,2020,1,1,1400,4.6,5.35,4.94,37.36,41.22,39.35,3.31,3.56,3.42,2.52,4.26,1328,2.37,27.84,19.69,510.6,28.68
O,28,2020,1,1,1500,4.74,5.55,5.05,36.68,42.1,38.24,3.22,3.6,3.34,2.2,3.8,1411,2.09,18.7,18.47,370.8,17.58
O,28,2020,1,1,1600,4.13,5.14,4.66,36.95,43.59,40.03,3.24,3.61,3.41,1.29,2.91,1513,1.06,6.93,34.36,75.49,8.64
O,28,2020,1,1,1700,3.93,4.67,4.27,38.18,42.37,39.78,3.14,3.53,3.3,0.79,2.26,1602,0.56,352.9,44.15,45.14,1.97
O,28,2020,1,1,1800,2.79,4.07,3.35,35.95,43.59,39.56,2.81,3.3,3.07,0.76,1.29,1709,0.52,311.5,45.6,9.39,0
O,28,2020,1,1,1900,2.79,3.47,3.17,33.99,40.35,37.22,2.64,3.09,2.85,0.74,1.37,1854,0.61,246.7,33.7,0,0
O,28,2020,1,1,2000,2.65,3.74,3.22,24.92,34.94,28.12,1.94,2.64,2.16,0.83,1.5,1939,0.64,273.3,39.38,0,0
O,28,2020,1,1,2100,3.06,4.14,3.66,19.23,28.3,23.64,1.58,2.28,1.87,0.63,1.38,2003,,,,0,0
O,28,2020,1,1,2200,3.33,4.01,3.67,23.02,31.08,27.03,1.87,2.42,2.14,0.67,1.52,2128,0.29,265.6,60.66,0,0
O,28,2020,1,1,2300,3.13,3.81,3.5,25.12,33.72,28.52,2.01,2.63,2.24,0.77,1.72,2235,0.55,335.8,43.37,0,0
O,28,2020,1,1,2400,3.06,4.14,3.53,23.43,38.32,31.3,1.91,2.98,2.46,0.83,1.6,2358,0.63,349.8,39.47,0,0
O,28,2020,1,2,100,2.93,4.55,3.53,27.49,39.95,34.62,2.32,3.04,2.72,0.67,1.48,33,0.23,326.1,65.35,0,0
O,28,2020,1,2,200,3.26,3.81,3.42,32.23,40.01,34.58,2.51,3.1,2.7,0.73,1.85,139,0.43,346.2,51.7,0,0
O,28,2020,1,2,300,2.79,3.47,3.17,31.69,41.3,36.41,2.47,3.08,2.79,0.89,1.7,209,0.66,354.7,41.56,0,0
O,28,2020,1,2,400,2.65,4.48,2.98,26.68,44.08,38.66,2.19,3.3,2.92,0.87,1.97,357,0.41,221.5,59.15,0,0
O,28,2020,1,2,500,3.4,4.96,4.1,24.58,37.71,30.41,2.1,3.05,2.48,1.19,2.18,444,0.86,351.5,42.75,0,0
O,28,2020,1,2,600,3.47,4.21,3.67,27.28,35.74,31.04,2.23,2.82,2.46,0.89,1.72,507,0.56,307.3,49.17,0,0
O,28,2020,1,2,700,4.01,4.61,4.27,27.01,39.81,32.6,2.25,3.25,2.7,0.72,1.48,619,0.21,292,68.14,0,0
O,28,2020,1,2,800,3.06,4.27,3.66,28.43,52.74,38.95,2.31,4.05,3.08,0.8,1.46,739,0.37,306,59.35,1.6,0
O,28,2020,1,2,900,3.06,4.35,3.8,35.48,58.83,45.66,2.78,4.78,3.66,0.74,1.38,816,0.49,315.1,47.16,27.54,1.08
O,28,2020,1,2,1000,3.67,4.28,3.9,46.24,73.59,62.15,3.83,5.95,5.02,0.7,1.4,955,0.37,325.7,55.4,71.26,5.5
O,28,2020,1,2,1100,2.99,4.14,3.35,58.63,95.7,84.8,4.81,7.34,6.57,0.76,1.53,1035,0.48,341.6,49.36,56.33,4.23
O,28,2020,1,2,1200,3.12,4.68,3.79,94.1,100,97.3,7.23,8.53,7.8,0.86,1.74,1101,0.68,356.6,37.01,97.9,5.99
O,28,2020,1,2,1300,3.87,7.85,6.01,98.7,100,99.8,7.95,10.62,9.38,0.7,1.53,1255,0.53,2.14,39.34,118,5.9
O,28,2020,1,2,1400,7.31,9.07,8.27,98.3,100,99.3,10.16,11.37,10.85,0.82,1.3,1315,0.56,358.8,45.52,103.3,5.99
O,28,2020,1,2,1500,9,10.22,9.72,93.3,98.8,95.9,11.2,11.92,11.55,1.3,2.4,1417,1.03,196.9,36.79,148.1,7.47
O,28,2020,1,2,1600,7.99,10.15,9.11,91.8,99.9,97.4,10.25,11.85,11.26,2.15,3.58,1559,1.98,202.2,22.71,105.2,5.4
O,28,2020,1,2,1700,7.45,8.32,7.89,99.8,100,100,10.31,10.96,10.64,2.48,5.2,1605,2.16,201.1,28.85,17.61,0.79
O,28,2020,1,2,1800,7.92,8.39,8.23,96.5,100,98.8,10.48,11.01,10.76,3.88,5.67,1759,3.49,199,25.61,1.33,0
O,28,2020,1,2,1900,7.45,8.12,7.77,96.6,98.4,97.6,10.02,10.53,10.3,3.69,6.68,1900,3.1,197.5,32.41,0,0
O,28,2020,1,2,2000,6.23,7.51,6.74,97.5,99.2,98.3,9.32,10.13,9.67,3.9,6.11,1919,2.94,209.8,40.2,0,0
O,28,2020,1,2,2100,5.35,6.36,5.86,96.7,98.7,97.7,8.68,9.37,9.04,3.48,5.81,2012,2.77,216.8,36.41,0,0
O,28,2020,1,2,2200,4.94,5.35,5.09,96.6,98.3,97.6,8.45,8.74,8.56,3.7,6.76,2132,2.86,205.4,38.5,0,0
O,28,2020,1,2,2300,4.74,5.08,4.89,96.7,99.4,97.9,8.36,8.63,8.47,3.83,5.89,2229,3.44,196.5,25.8,0,0
