site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,28,2023,1,1,100,7.46,8.14,7.85,88.4,91.1,89.7,9.34,9.65,9.52,0.6,1.27,8,0.22,273.7,64.54,0,-0.08
,28,2023,1,1,200,7.12,7.73,7.51,89.3,92.3,90.6,9.2,9.5,9.4,0.72,1.51,125,0.35,257.5,58.09,0,-0.1
,28,2023,1,1,300,7.53,8,7.78,89.3,91.7,90.6,9.38,9.73,9.56,0.64,1.32,231,0.25,273,62.77,0,-0.09
,28,2023,1,1,400,7.6,8,7.79,89.4,91.7,90.7,9.49,9.68,9.58,0.51,1.51,335,0.35,251.2,44.59,0,-0.09
,28,2023,1,1,500,7.53,8.21,7.75,88,91.5,90.3,9.41,9.65,9.51,0.78,2.2,434,0.13,218.2,73.81,0,0
,28,2023,1,1,600,7.26,7.73,7.48,91.3,95.5,93.4,9.54,9.82,9.66,0.85,1.4,543,0.72,218.3,31.21,0,-0.02
,28,2023,1,1,700,7.39,8.14,7.85,92.7,95.3,93.8,9.71,10.08,9.95,0.66,1.33,609,0.39,218.4,51.77,0,-0.09
,28,2023,1,1,800,7.94,8.21,8.08,92.7,95.3,93.8,10.02,10.23,10.11,0.77,1.48,703,0.53,220.3,45.74,4.28,0.13
,28,2023,1,1,900,8.07,8.82,8.4,92.3,95,93.9,10.2,10.67,10.35,0.61,1.4,826,0.34,201.4,53.72,72.24,2.67
,28,2023,1,1,1000,8.61,9.02,8.82,92.9,95.3,94,10.43,10.91,10.65,0.73,1.4,926,0.54,202.4,41.16,107.7,3.95
,28,2023,1,1,1100,9.02,10.24,9.6,88.7,96.7,92.5,10.67,11.45,11.05,0.72,1.39,1037,0.55,163.7,39.23,259.4,9.76
,28,2023,1,1,1200,10.37,11.65,10.73,82.5,94.5,88.1,10.98,12.03,11.34,0.9,1.48,1108,0.75,139.6,33.47,507.3,17.45
,28,2023,1,1,1300,10.77,11.65,11.1,80.8,90.5,85.7,10.71,12.01,11.31,1.13,1.86,1203,0.92,131.2,35.34,569.9,22.48
,28,2023,1,1,1400,11.17,12.12,11.56,72.63,85.6,80.6,10.1,11.67,10.97,1.33,2.5,1358,0.89,76.77,46.59,474.7,28.19
,28,2023,1,1,1500,11.71,12.73,12.27,70.53,78.99,74.04,10.04,11.26,10.56,1.24,2.53,1437,0.91,171.9,42.02,398.9,13.65
,28,2023,1,1,1600,10.53,11.92,11.08,71.81,78.65,75.74,9.58,10.82,9.99,1.17,2.4,1517,0.64,201.2,54.39,70.24,5.18
,28,2023,1,1,1700,10.1,10.84,10.39,75.01,79.01,77.07,9.52,9.87,9.71,0.84,1.83,1602,0.34,230.8,62.25,39.98,1.04
,28,2023,1,1,1800,9.83,10.64,10.22,75.22,79.55,76.93,9.42,9.78,9.58,0.83,2.2,1709,0.11,249.8,75.29,9.91,0.23
,28,2023,1,1,1900,9.15,10.27,9.9,71.23,82.2,75.77,8.81,9.58,9.23,0.92,1.52,1828,0.2,270.2,71.73,0,-0.07
,28,2023,1,1,2000,9.22,10.24,9.81,71.36,76.91,73.98,8.77,9.05,8.96,0.84,1.67,1909,0.43,287.2,56.76,0,-0.1
,28,2023,1,1,2100,9.49,10.34,10,70.62,76.24,73.63,8.74,9.35,9.04,0.87,1.57,2015,0.45,275,56.55,0,-0.11
,28,2023,1,1,2200,9.83,10.34,10.1,70.99,74.88,72.99,8.87,9.13,9.01,0.74,1.21,2108,0.48,233.9,47.85,0,-0.09
,28,2023,1,1,2300,10.03,10.71,10.4,69.67,73.26,71.37,8.88,9.12,9,0.79,1.33,2236,0.45,213.5,53.02,0,-0.09
,28,2023,1,1,2400,10.03,10.81,10.45,68.11,73.46,70.37,8.77,9.08,8.9,0.68,1.31,2338,0.31,219.2,59.72,0,-0.1
,28,2023,1,2,100,10.24,11.02,10.56,67.5,72.58,70.82,8.79,9.24,9.02,0.65,1.67,11,0.28,153.6,61.19,0,-0.1
,28,2023,1,2,200,9.63,10.58,10.02,72.51,78.4,76.61,9.21,9.63,9.41,0.77,1.45,158,0.16,99.2,71.93,0,-0.1
,28,2023,1,2,300,8.95,10.3,9.57,76.24,82.5,79.45,9.36,9.59,9.47,0.83,1.51,240,0.43,12.54,56.57,0,-0.11
,28,2023,1,2,400,8.98,9.49,9.2,79.69,83.5,81.6,9.36,9.6,9.49,0.67,1.32,400,0.29,262.6,61.08,0,-0.06
,28,2023,1,2,500,8.38,9.09,8.83,82.3,86.7,84.1,9.43,9.61,9.53,0.84,1.44,401,0.79,214.5,19.93,0,0.06
,28,2023,1,2,600,8.54,10.88,9.5,65.54,83.2,73.6,8.34,9.26,8.71,0.66,1.32,554,0.17,276.5,69.86,0,0.01
,28,2023,1,2,700,9.76,10.85,10.35,64.12,77.05,70.11,8.3,9.31,8.8,0.78,1.36,646,0.54,20.05,45.7,0,-0.09
,28,2023,1,2,800,10.17,10.85,10.51,72.51,77.52,74.62,9.13,9.71,9.47,0.75,1.31,748,0.38,4.05,57.16,5.63,0.21
,28,2023,1,2,900,10.1,10.71,10.37,76.95,79.69,78.18,9.61,10.19,9.83,0.73,1.27,823,0.34,216.5,59.46,88.7,3.41
,28,2023,1,2,1000,10.64,12.17,11.33,71.76,79.89,75.29,9.6,10.78,10.09,0.78,1.35,958,0.61,40.81,38.08,216.3,9.72
,28,2023,1,2,1100,12.13,13.11,12.62,67.36,75.04,71.21,9.91,11.09,10.39,0.87,1.43,1016,0.7,61.52,35.76,310.7,12.81
,28,2023,1,2,1200,12.26,12.93,12.61,71.82,81.4,75.65,10.38,12.12,11.04,0.76,2.09,1152,0.23,83.4,67.93,145.5,5.3
,28,2023,1,2,1300,12.19,12.87,12.58,78.45,89.3,82.3,11.44,12.67,11.98,0.83,1.92,1202,0.22,146.7,69.47,104.9,3.65
,28,2023,1,2,1400,11.24,12.05,11.43,88.9,97.4,94.9,12.02,13.22,12.8,0.4,0.88,1356,0.08,184.6,72.95,110.3,4.01
,28,2023,1,2,1500,11.45,11.99,11.64,94.5,97.1,96.2,12.88,13.5,13.17,0.54,1.09,1457,0.15,317.2,69.25,106.8,3.87
,28,2023,1,2,1600,11.55,12.8,12.32,91.5,97.2,93.9,13.03,13.85,13.44,0.53,1.33,1540,0.08,349.6,74.95,80.7,2.9
,28,2023,1,2,1700,11.92,12.4,12.1,91.9,94.5,93.1,12.87,13.46,13.14,0.5,1.23,1625,0.12,205.3,70.67,27.55,0.86
,28,2023,1,2,1800,12.19,12.57,12.28,92.4,95.4,94.1,13.13,13.88,13.43,0.63,1.37,1720,0.52,351.5,33.07,4.51,0.08
,28,2023,1,2,1900,12.6,13.08,12.9,94.4,97.6,96.2,13.82,14.53,14.31,1.64,2.74,1847,1.58,193.8,15.27,0,-0.09
,28,2023,1,2,2000,12.53,13.45,12.82,94.4,98.9,97.5,14.26,14.56,14.41,2.15,3.52,1951,2.01,189.5,20.64,0,-0.07
,28,2023,1,2,2100,12.94,13.82,13.39,94.4,96.5,95.3,14.23,14.98,14.64,1.79,2.52,2035,1.59,172.2,27.26,0,-0.07
,28,2023,1,2,2200,13.31,13.62,13.47,95.1,98.7,97.4,14.68,15.21,15.03,2.66,4.28,2137,2.23,179.9,32.25,0,-0.09
,28,2023,1,2,2300,13.21,13.48,13.38,97.2,98.7,98.1,14.91,15.2,15.06,2.54,4.29,2226,2.1,192.6,33.76,0,-0.07
,28,2023,1,2,2400,13,13.24,13.11,98.2,100.1,99.7,14.92,15.17,15.04,3.58,6.42,2332,3.26,186.7,24.42,0,-0.1
,28,2023,1,3,100,12.94,13.08,13.02,99.9,100.1,100,14.89,15.04,14.98,4.05,6.53,47,3.75,197.5,21.96,0,-0.09
,28,2023,1,3,200,12.9,13.14,12.97,99.9,100.1,100,14.87,15.11,14.94,3.26,5.19,102,2.88,193.1,27.39,0,-0.08
,28,2023,1,3,300,12.6,13.07,12.81,99.9,100.1,100,14.58,15.05,14.78,3.06,6.74,233,2.44,198.9,36.39,0,-0.07
,28,2023,1,3,400,12.53,12.67,12.59,99.9,100.1,100,14.5,14.65,14.57,3.13,5.54,344,2.55,191.2,34.87,0,-0.09
,28,2023,1,3,500,12.53,12.67,12.6,99.9,100.1,100,14.51,14.66,14.58,2.63,4.74,417,2.07,188.6,37.28,0,-0.07
,28,2023,1,3,600,12.53,12.7,12.6,99.9,100.1,100,14.5,14.68,14.58,2.42,5.17,533,1.68,170.6,44.94,0,-0.09
,28,2023,1,3,700,12.4,12.57,12.47,99.9,100.1,100,14.38,14.55,14.45,3.92,6.75,700,3.32,201.4,31.72,0,-0.07
,28,2023,1,3,800,12.47,12.74,12.57,99.8,100.1,100,14.42,14.71,14.55,3.82,7.76,755,2.93,183.7,39.11,0.34,-0.06
,28,2023,1,3,900,12.53,12.91,12.69,98.6,100,99.3,14.39,14.87,14.57,4.81,7.94,804,3.9,181.7,35.17,11.54,0.35
,28,2023,1,3,1000,12.53,13.07,12.73,93.3,98.6,96.9,13.97,14.5,14.26,4.6,7.68,918,4.05,177.8,27.88,51.43,1.72
,28,2023,1,3,1100,12.7,13.34,13.03,92,98.7,95.4,13.97,14.52,14.3,4.08,5.94,1018,3.65,174.5,26.33,81.6,2.85
,28,2023,1,3,1200,12.7,13.21,12.86,94.9,99.5,98.5,14.28,14.72,14.6,3.58,6.5,1125,2.87,168.7,35.97,49.72,1.5
,28,2023,1,3,1300,12.94,13.58,13.28,93.8,98,96,14.42,14.81,14.63,3.59,5.09,1229,3.17,169.6,27.59,142.7,5.23
,28,2023,1,3,1400,13.41,13.88,13.61,91.7,96.3,93.9,14.41,14.89,14.63,3.76,5.41,1337,3.23,159.8,30.4,190,7.14
,28,2023,1,3,1500,13.21,13.75,13.54,91.7,96.5,93.9,14.35,14.79,14.55,3.58,5.27,1413,3.13,165.5,28.62,107.8,3.8
,28,2023,1,3,1600,13.41,13.68,13.52,92.3,94.1,93.2,14.29,14.64,14.43,3.45,5.01,1510,3.08,165,26.69,48.19,1.56
,28,2023,1,3,1700,10.16,13.55,12.31,92.2,98.5,95.6,11.66,14.74,13.72,2.31,4.66,1639,0.61,150.2,69.49,10.7,0.31
,28,2023,1,3,1800,9.7,10.36,10.12,95.1,99.4,97.5,11.87,12.31,12.06,0.88,2.54,1701,0.07,325.9,77.6,2.86,0.04
,28,2023,1,3,1900,9.39,9.7,9.48,99.3,100.1,99.8,11.77,11.95,11.83,0.78,1.67,1849,0.58,181.5,40.66,0,-0.08
,28,2023,1,3,2000,9.42,11.02,9.88,95.3,100.1,99.5,11.8,12.71,12.11,1.44,4.5,1957,0.62,163.3,61.09,0,-0.08
,28,2023,1,3,2100,10.81,11.46,11.2,91.8,96.1,94.3,12.36,12.75,12.54,2.1,4.46,2018,1.73,184.2,34.08,0,-0.06
,28,2023,1,3,2200,10.78,11.52,11.18,93,98.4,96,12.57,12.93,12.74,2.11,5.02,2141,1.47,197.8,44.67,0,-0.07
,28,2023,1,3,2300,10.91,11.9,11.51,93.6,97.8,96,12.72,13.31,13.03,2.84,4.53,2230,2.4,188.6,32.03,0,-0.08
,28,2023,1,3,2400,11.46,11.73,11.55,97.4,100.1,99.1,13.29,13.64,13.49,2.01,3.94,2320,1.28,182.9,48.91,0,-0.06
,28,2023,1,4,100,11.39,11.73,11.54,99.9,100,100,13.45,13.76,13.59,1.58,2.77,5,1.16,167.5,41.47,0,-0.07
,28,2023,1,4,200,11.29,11.59,11.43,99.9,100.1,100,13.37,13.65,13.49,1.15,2.86,113,0.83,186.3,42.65,0,-0.07
,28,2023,1,4,300,11.39,11.59,11.49,99.9,100.1,100,13.45,13.65,13.55,2.1,4.57,219,1.81,192,29.71,0,-0.08
,28,2023,1,4,400,11.32,11.52,11.4,99.9,100.1,100,13.39,13.59,13.47,2.3,4.35,354,2.14,195.2,21.32,0,-0.07
,28,2023,1,4,500,11.18,11.66,11.44,99.6,100.1,99.9,13.23,13.7,13.49,1.81,4.75,441,1.09,190,51.07,0,-0.06
,28,2023,1,4,600,10.98,11.25,11.09,99.2,99.9,99.5,13.04,13.29,13.14,1.37,2.56,538,0.69,19.2,57.01,0,-0.09
,28,2023,1,4,700,10.98,11.18,11.08,97.4,100,99.3,12.82,13.27,13.1,1.77,3.28,646,1.23,2.48,44.62,0,-0.05
,28,2023,1,4,800,10.74,11.39,10.94,94.9,100,98.2,12.7,12.93,12.83,1.39,2.38,718,0.82,8.67,51.86,0.43,-0.06
,28,2023,1,4,900,10.78,12.13,11.62,92.3,100,96.3,12.92,13.58,13.16,2.59,6.15,849,1.94,176.4,40.7,6.44,0.16
,28,2023,1,4,1000,11.45,11.79,11.59,94.4,97.9,96.5,12.99,13.33,13.17,3.93,6.74,948,3.6,174.8,23.59,33.48,1.06
,28,2023,1,4,1100,11.18,11.59,11.34,96,99.5,98.1,13,13.31,13.16,3.66,5.38,1002,3.19,178.4,29.02,83.1,2.88
,28,2023,1,4,1200,11.38,11.65,11.49,97.3,99.9,99,13.21,13.64,13.41,3.29,5.1,1151,3.13,177.3,18.23,116.3,4.17
,28,2023,1,4,1300,11.45,11.86,11.67,98.7,99.9,99.4,13.46,13.84,13.63,3.07,4.49,1203,2.89,169.2,19.66,157.3,5.86
,28,2023,1,4,1400,11.72,12.46,12,94.4,100,98.5,13.46,14.08,13.8,2.83,4.69,1304,2.59,175,23.7,228.6,8.69
,28,2023,1,4,1500,11.99,13,12.6,84.8,96.4,89.9,12.04,14.12,13.11,1.89,3.37,1456,1.45,180.6,39.21,311.1,10.47
,28,2023,1,4,1600,11.31,12.26,12.04,74.26,89.6,84.2,10.59,12.65,11.84,2,3.86,1512,1.67,179.6,33.29,105.6,3.96
,28,2023,1,4,1700,10.44,11.86,11.41,65.81,83.7,74.04,8.54,11.42,9.98,2.03,3.65,1649,1.76,186.3,29.52,43.13,1.16
,28,2023,1,4,1800,9.09,10.71,10.06,55.99,71.83,63.32,6.89,9.12,7.81,1.74,3.28,1714,1.41,187.2,34.94,11.03,0.25
,28,2023,1,4,1900,8.07,9.15,8.72,56.74,70.07,63.29,6.46,7.71,7.12,1.11,2.25,1855,0.44,6.25,63.09,0,-0.11
,28,2023,1,4,2000,7.53,9.02,8.01,58.84,70.95,65.54,6.67,7.5,7.03,1.18,2.73,1906,0.42,5.06,65.22,0,-0.1
,28,2023,1,4,2100,6.45,8.07,7.29,64.59,73.73,69.8,6.9,7.41,7.13,0.71,1.96,2001,0.33,279.9,59.22,0,0
,28,2023,1,4,2200,6.04,7.12,6.59,64.32,72.34,67.46,6.23,6.92,6.57,0.76,1.49,2130,0.54,240,43.57,0,-0.08
,28,2023,1,4,2300,5.98,6.59,6.27,63.45,69.75,66.3,6.1,6.58,6.31,1.07,2.62,2256,0.26,270.8,70.39,0,0.03
,28,2023,1,4,2400,5.64,6.86,6.33,59.12,71.85,63.83,5.81,6.61,6.1,1.47,2.68,2328,0.31,147.7,71.97,0,0.06
,28,2023,1,5,100,5.37,6.39,6,59.18,66.84,62.31,5.5,6.13,5.82,1.24,2.53,30,0.57,211.7,59.54,0,0.05
,28,2023,1,5,200,5.44,6.25,5.89,57.42,64.67,60.56,5.4,5.9,5.62,1.45,3.01,110,0.53,188.8,64.51,0,0.06
,28,2023,1,5,300,4.76,6.05,5.3,60.4,71.24,65.42,5.63,6.14,5.82,1.09,2.61,219,0.57,205,56.1,0,0.04
,28,2023,1,5,400,4.52,5.1,4.8,68.53,72.69,70.38,5.94,6.22,6.05,0.99,1.69,303,0.33,243.8,66.01,0,0.04
,28,2023,1,5,500,4.56,5.17,4.86,65.96,72.86,69.42,5.71,6.25,5.99,1,1.94,431,0.46,198.9,59.52,0,0.03
,28,2023,1,5,600,4.29,5.64,4.88,63.32,71.65,67.64,5.69,5.96,5.84,0.91,1.83,512,0.13,329.1,74.89,0,0.03
,28,2023,1,5,700,4.19,4.9,4.47,67.31,72.19,70.05,5.79,6.01,5.89,0.72,1.29,634,0.02,236.9,79.91,0,0.04
,28,2023,1,5,800,3.75,4.63,4.13,69.48,76.12,72.98,5.86,6.17,5.98,1.33,3.16,731,0.53,46.96,63.03,7.56,0.44
,28,2023,1,5,900,4.29,6.59,5.43,58.98,75.44,68.44,5.63,6.82,6.14,1.58,2.93,820,1.12,66.35,43.74,117.7,6.1
,28,2023,1,5,1000,6.35,7.94,7.2,52,69.87,59.68,5.5,7.27,6.06,1.83,3.49,906,1.31,74.92,43.28,260.3,14.17
,28,2023,1,5,1100,7.46,8.75,8.12,43.2,61.68,51.49,4.74,6.46,5.56,1.87,4.3,1100,1.3,66.38,44.63,491.3,18.7
,28,2023,1,5,1200,7.73,9.56,8.39,41.16,55.79,47,4.69,6.01,5.17,1.72,4.16,1133,0.86,68.88,57.21,930,32.75
,28,2023,1,5,1300,7.79,9.49,8.79,35.34,48.2,42.09,3.88,5.56,4.76,1.83,3.85,1249,1.2,121.2,47.41,761.5,34.02
,28,2023,1,5,1400,7.05,8.54,7.91,37.17,48.23,41.48,3.98,5.22,4.42,1.75,5.17,1352,0.64,76.14,64.42,426.5,30.68
,28,2023,1,5,1500,6.62,7.83,7.21,38.79,50.44,42.97,4.01,5.09,4.36,1.71,3.8,1446,1,64.19,52.24,375.1,10.44
,28,2023,1,5,1600,6.04,6.99,6.51,39.68,48.75,44,3.9,4.63,4.26,1.42,3.33,1507,0.72,32.67,57.02,67.28,5.42
,28,2023,1,5,1700,5.09,6.41,5.83,43.53,52,47.43,4.17,4.76,4.38,1.33,2.69,1647,0.54,47.06,62.4,40.76,1.03
,28,2023,1,5,1800,4.42,5.3,4.8,48.61,55.52,51.84,4.3,4.68,4.45,0.92,1.93,1701,0.41,9.45,60.35,11.19,0.26
,28,2023,1,5,1900,3.2,4.56,3.92,51.8,58.37,54.85,4.06,4.66,4.43,1.04,2.45,1856,0.17,94.2,74.12,0,-0.11
,28,2023,1,5,2000,2.8,3.82,3.29,50.45,57.9,54.07,4.01,4.47,4.18,1.47,2.94,1931,0.44,64.25,67.66,0,-0.12
,28,2023,1,5,2100,2.53,3.14,2.84,52.22,57.64,54.49,3.92,4.33,4.08,1.66,3.97,2023,0.75,37.17,59.8,0,-0.1
,28,2023,1,5,2200,1.72,2.74,2.2,52.22,61.9,56.64,3.77,4.46,4.05,2.25,5.27,2151,0.71,57.68,67.02,0.01,-0.1
,28,2023,1,5,2300,1.25,2.4,1.86,50.73,59.19,54.98,3.67,4.05,3.84,1.92,5.3,2201,0.21,16.49,76.5,0,-0.02
,28,2023,1,5,2400,0.64,1.86,1.29,52.49,62.31,56.57,3.61,4.1,3.79,1.57,3.48,2311,0.39,48.55,70.26,0.03,0.04
,28,2023,1,6,100,0.5,1.11,0.71,53.44,59.53,55.78,3.43,3.87,3.59,1.26,4.41,2,0.25,44.53,72.47,0.03,0.05
,28,2023,1,6,200,0.07,0.78,0.29,55.14,60.97,58.37,3.49,3.75,3.64,1.11,2.46,106,0.32,8.66,68.29,0.05,0.06
